classification,ax,ay,az,gx,gy,gz,ax2,ay2,az2,gx2,gy2,gz2,mx,my,mz,steps,temp
1,-2859,-10107,11770,-75,101,126,20,-10616,12904,-151,-253,-49,224,65343,65252,80,-5424
1,-3141,-9798,12196,-317,2,-539,252,-11032,12888,-904,-160,-25,226,65342,65250,80,-5440
1,-2915,-9825,12310,617,54,342,-128,-10820,13156,-749,-32,-270,221,65345,65250,80,-5440
2,17501,20503,9798,12526,-3631,-9954,11144,15200,3424,-1313,433,1951,65309,104,108,80,-5408
2,6358,13841,3374,-49,249,-876,9632,13032,3692,-1569,-534,-107,65285,81,101,80,-5424
2,5810,14685,3155,-41,165,-192,9572,13172,4040,-336,-304,-95,65281,72,102,80,-5440
2,5539,15043,3236,625,-65,-21,8944,13336,3360,350,-214,-65,65280,71,108,80,-5440
2,6021,14525,2771,-568,616,22,9260,12948,4380,87,-612,-261,65278,69,105,80,-5392
2,5542,14688,2948,-456,132,-174,8956,13732,3608,46,-62,-167,65270,61,102,80,-5440
2,5527,14947,2627,-97,122,84,8660,12872,3592,-1111,428,-639,65270,60,102,80,-5440
2,5066,15084,3188,-278,-69,271,8500,13284,3920,-223,-341,-208,65270,58,103,80,-5440
2,5178,14911,3053,-837,1,-276,8524,13528,3972,-505,16,-1,65269,57,101,80,-5440
2,5210,14699,3170,100,108,-111,8584,13460,3988,-724,-116,81,65266,57,96,80,-5456
2,5179,14943,2802,-265,18,-10,8760,13548,4024,-317,138,-277,65265,54,95,80,-5440
2,4741,14922,2778,-289,254,-171,8288,13492,4012,-414,-170,-393,65260,50,97,80,-5424
2,4730,15201,2772,-219,-42,-6,8460,13856,3824,-263,-46,-41,65265,50,103,80,-5456
2,4832,15224,2959,-602,304,-5,8304,13484,4024,535,-427,-371,65260,48,100,80,-5424
2,4548,15063,2637,10,281,-217,8088,13808,4052,-134,-171,-194,65263,48,97,80,-5424
2,4596,15064,2960,-211,7,-188,8116,13784,4036,-227,-151,-142,65257,43,94,80,-5440
2,4627,15235,2837,-198,140,77,8096,13792,3804,-253,23,-184,65260,44,98,80,-5424
2,4716,15300,2944,213,-5,1,7980,13604,4060,-380,-145,-205,65255,41,96,80,-5440
2,4555,15366,2854,-368,331,-19,7940,13868,4132,-66,-249,-157,65261,43,99,80,-5456
2,4567,15198,2696,-384,28,-200,8164,14036,4020,31,23,-154,65254,41,93,80,-5424
3,-307,13929,-13230,22986,-21666,15111,-9776,-708,-15404,3848,-3602,7986,75,64649,360,80,-5440
3,-9598,458,-13214,-409,-1507,-363,-11344,2992,-11048,-933,-111,1440,65527,64646,312,80,-5472
3,-10942,2612,-14743,-176,-102,0,-11144,4820,-10092,324,-727,-10,65521,64647,295,80,-5472
3,-10675,2960,-13564,-1102,293,-432,-11224,5260,-10164,-320,194,59,65517,64644,294,80,-5456
3,-11154,3627,-13985,-862,39,-195,-11136,5008,-10104,-82,-107,113,65513,64647,297,80,-5440
3,-10970,3588,-13522,-182,90,-42,-11112,4976,-9976,-623,406,-67,65525,64647,297,80,-5456
3,-10731,3243,-13863,-194,66,189,-11292,4848,-10204,-303,131,-322,65518,64647,304,80,-5424
3,-10737,3529,-13891,-571,-100,144,-11452,4852,-10120,-234,-92,-270,65518,64647,298,80,-5440
3,-11007,3549,-13934,165,21,26,-11128,5020,-10004,61,-168,-306,65516,64647,301,80,-5472
3,-10869,3555,-14044,-124,284,37,-11092,5124,-9952,-457,-305,-31,65519,64650,297,80,-5440
3,-10870,3723,-13781,-2278,519,-1097,-11100,4272,-10092,4646,42,-494,9,64641,319,80,-5456
3,-11801,2365,-13872,-1015,747,-297,-11300,2760,-9332,117,-1199,-354,13,64645,319,80,-5456
3,-10746,2905,-15365,-329,475,426,-11096,5184,-13812,2108,-799,468,65534,64642,306,80,-5472
3,-11015,1511,-12622,-4856,832,-2169,-12412,3868,-10028,183,-188,-343,27,64643,331,80,-5440
3,-10838,1534,-13886,-3137,90,-487,-13396,-892,-4500,2523,1135,100,18,64641,314,80,-5472
3,-9188,2308,-13198,-2066,43,477,-9636,5552,-9084,-1146,-85,46,65492,64666,319,80,-5440
3,-10227,5950,-13968,-394,-564,27,-10200,6656,-9752,-467,-405,-175,65481,64668,299,80,-5472
3,-10408,5159,-14246,-500,-171,152,-10484,6664,-10124,-363,253,-28,65480,64668,300,80,-5456
3,-10592,5180,-13515,-223,-227,-16,-10408,6672,-9796,147,-60,-51,65475,64668,298,80,-5424
3,-10178,5253,-13765,-11,17,-1,-10488,6872,-10232,-288,-63,18,65473,64668,298,80,-5440
4,14950,-2113,-983,-1894,-818,531,11080,-7888,-7404,-2956,-13744,1812,94,65384,556,80,-5488
